line_item,unit,Y1,Y2,Y3,Y4,Y5
premises_passed_cumulative,count,500,2000,4500,7000,9000
subscribers_cumulative,count,140,660,1710,2800,3780
take_rate,pct,0.28,0.33,0.38,0.40,0.42
avg_subscribers,count,70,400,1185,2255,3290
blended_arpu_monthly,usd,100,100,100,100,100
revenue_subscription,usd_000s,84,480,1422,2706,3948
revenue_other_install_addons,usd_000s,4,24,71,135,197
revenue_total,usd_000s,88,504,1493,2841,4145
opex_transit_backhaul,usd_000s,120,200,320,450,600
opex_operating_payroll,usd_000s,380,620,950,1250,1550
opex_site_leases_pole_attach,usd_000s,40,90,160,220,280
opex_sga_software_insurance_fuel,usd_000s,220,350,550,750,900
opex_total,usd_000s,760,1260,1980,2670,3330
ebitda,usd_000s,-672,-756,-487,171,815
capex_total,usd_000s,2576,4118,6595,5981,4882
cash_flow_pre_financing,usd_000s,-3248,-4874,-7082,-5810,-4067
cash_flow_cumulative_pre_financing,usd_000s,-3248,-8122,-15204,-21014,-25081
