month,active,active_units,pool,total_units,avg_units,total_weight,founding_share
1,70,72,0,72,1.0,141,100.0
2,139,214,1,215,1.5,353,100.0
3,209,426,4,430,2.0,635,100.0
4,278,707,9,717,2.5,986,100.0
5,348,1057,18,1075,3.0,1405,100.0
6,418,1473,32,1505,3.5,1890,100.0
7,487,1955,51,2007,4.0,2443,100.0
8,557,2503,77,2580,4.5,3060,100.0
9,626,3116,109,3225,5.0,3742,100.0
10,696,3792,150,3942,5.4,4488,100.0
11,765,4531,199,4730,5.9,5297,100.0
12,835,5461,129,5590,6.5,6296,100.0
13,923,6341,200,6541,6.9,7264,97.2
14,1011,7299,282,7582,7.2,8310,94.0
15,1098,8336,377,8713,7.6,9434,90.5
16,1186,9450,486,9935,8.0,10636,86.9
17,1274,10639,609,11248,8.3,11913,83.3
18,1362,11904,747,12650,8.7,13266,79.8
19,1450,13242,902,14144,9.1,14692,76.5
20,1538,14654,1074,15728,9.5,16192,73.3
21,1626,16138,1264,17402,9.9,17763,70.2
22,1713,17693,1474,19167,10.3,19406,67.3
23,1801,19318,1704,21022,10.7,21119,64.6
24,1889,21990,978,22967,11.6,23879,61.0
25,1978,23742,1263,25005,12.0,25720,58.7
26,2068,25563,1572,27135,12.4,27631,56.6
27,2158,27453,1904,29358,12.7,29611,54.5
28,2247,29411,2261,31672,13.1,31658,52.5
29,2336,31435,2644,34079,13.5,33771,50.6
30,2426,33525,3052,36577,13.8,35951,48.8
31,2516,35680,3488,39168,14.2,38196,47.1
32,2605,37900,3952,41851,14.5,40505,45.5
33,2694,40182,4445,44627,14.9,42877,43.9
34,2784,42527,4967,47494,15.3,45311,42.4
35,2874,44934,5520,50454,15.6,47808,41.0
36,2963,50454,3052,53506,17.0,53417,38.6
37,3035,52924,3708,56632,17.4,55959,37.5
38,3107,55437,4396,59832,17.8,58544,36.4
39,3179,57990,5117,63107,18.2,61170,35.4
40,3251,60585,5870,66456,18.6,63837,34.4
41,3323,63221,6658,69879,19.0,66544,33.4
42,3396,65896,7480,73376,19.4,69292,32.5
43,3468,68611,8337,76948,19.8,72079,31.7
44,3540,71365,9229,80594,20.2,74905,30.8
45,3612,74158,10156,84314,20.5,77769,30.0
46,3684,76988,11120,88108,20.9,80672,29.3
47,3756,79856,12121,91977,21.3,83612,28.5
48,3828,89340,6580,95920,23.3,93168,26.8
49,3860,92154,7741,99895,23.9,96014,26.2
50,3892,94965,8939,103904,24.4,98857,25.7
51,3924,97772,10174,107946,24.9,101696,25.1
52,3956,100575,11445,112020,25.4,104531,24.6
53,3988,103375,12752,116127,25.9,107363,24.1
54,4020,106171,14096,120267,26.4,110191,23.6
55,4051,108964,15476,124440,26.9,113015,23.2
56,4083,111753,16893,128646,27.4,115837,22.7
57,4115,114539,18346,132885,27.8,118654,22.3
58,4147,117322,19835,137156,28.3,121469,21.9
59,4179,120101,21360,141461,28.7,124280,21.5
60,4211,134338,11461,145798,31.9,138549,20.3
61,4227,136945,13207,150152,32.4,141171,19.9
62,4242,139534,14987,154521,32.9,143777,19.6
63,4258,142106,16801,158907,33.4,146364,19.3
64,4274,144661,18649,163310,33.8,148935,19.0
65,4290,147199,20529,167728,34.3,151489,18.8
66,4306,149720,22443,172163,34.8,154025,18.5
67,4321,152225,24389,176614,35.2,156546,18.2
68,4337,154713,26368,181081,35.7,159050,18.0
69,4353,157185,28379,185564,36.1,161538,17.7
70,4368,159641,30423,190064,36.5,164009,17.5
71,4384,162081,32498,194579,37.0,166466,17.2
72,4400,181809,17303,199111,41.3,186209,16.2
73,4408,183986,19666,203652,41.7,188394,16.0
74,4417,186143,22058,208201,42.1,190560,15.8
75,4425,188281,24478,212759,42.5,192706,15.6
76,4433,190400,26925,217325,42.9,194833,15.5
77,4442,192500,29401,221900,43.3,196941,15.3
78,4450,194581,31903,226484,43.7,199031,15.1
79,4458,196643,34433,231076,44.1,201101,14.9
80,4467,198687,36989,235676,44.5,203154,14.8
81,4475,200714,39572,240286,44.9,205189,14.6
82,4483,202722,42181,244903,45.2,207206,14.4
83,4492,204713,44817,249530,45.6,209205,14.3
84,4500,230426,23739,254165,51.2,234926,13.4
85,4504,232070,26734,258804,51.5,236574,13.3
86,4508,233696,29751,263448,51.8,238205,13.2
87,4512,235306,32789,268096,52.1,239819,13.0
88,4517,236899,35848,272748,52.5,241416,12.9
89,4521,238476,38928,277404,52.8,242997,12.8
90,4525,240037,42028,282065,53.0,244562,12.7
91,4529,241581,45149,286730,53.3,246110,12.6
92,4533,243110,48289,291399,53.6,247643,12.4
93,4538,244623,51450,296073,53.9,249161,12.3
94,4542,246121,54630,300751,54.2,250663,12.2
95,4546,247604,57829,305433,54.5,252150,12.1
96,4550,279595,30524,310120,61.4,284127,11.3
