zone,premises,dock_reachable_pct,yard_to_job_boat_wins_pct,median_truck_from_yard_min,median_boat_from_yard_min,intra_zone_hop_boat_wins_pct,median_hop_truck_min,median_hop_boat_min,best_ramp_lonlat,ramp_day_start_min,recommended_mode
Z-01,1272,83.2,3.5,20.4,27.9,15.0,16.7,28.0,"[-94.02133, 36.33245]",32.5,truck-first
Z-02,1134,44.9,11.0,16.6,21.4,15.0,19.3,25.9,"[-94.02133, 36.33245]",35.4,truck-first
Z-03,935,62.5,13.4,26.5,38.2,21.7,22.9,28.0,"[-94.02133, 36.33245]",43.5,truck-first
Z-04,851,64.4,13.4,40.5,49.6,30.0,25.3,31.7,"[-94.02133, 36.33245]",52.9,mixed
Z-05,596,94.0,89.6,47.6,27.6,6.7,17.4,24.5,"[-93.85643, 36.4207]",39.0,boat-first
Z-06,538,94.8,13.6,30.4,34.6,8.3,16.8,27.8,"[-94.02133, 36.33245]",45.2,truck-first
Z-07,531,73.4,0.0,47.1,63.8,6.7,17.2,25.5,"[-94.02133, 36.33245]",67.7,truck-first
Z-08,510,88.0,43.5,37.6,27.3,56.7,36.8,25.8,"[-94.02133, 36.33245]",35.4,boat-first
Z-09,462,100.0,37.4,20.3,29.8,40.0,15.2,26.6,"[-93.85643, 36.4207]",42.4,mixed
Z-10,440,61.6,9.5,52.1,56.2,23.3,17.2,26.1,"[-94.02133, 36.33245]",61.7,truck-first
Z-11,432,50.7,47.0,34.3,24.2,13.3,18.4,29.5,"[-94.02133, 36.33245]",35.0,mixed
Z-12,405,83.2,10.6,16.5,33.8,11.7,18.4,37.0,"[-93.85643, 36.4207]",46.8,truck-first
Z-13,285,59.6,59.6,44.5,26.4,0.0,15.7,25.7,"[-93.85643, 36.4207]",35.5,boat-first
Z-14,280,84.3,64.3,28.5,23.8,30.0,17.6,23.7,"[-93.85643, 36.4207]",33.0,boat-first
Z-15,259,54.1,0.0,50.5,67.4,3.3,18.8,26.5,"[-94.02133, 36.33245]",71.3,truck-first
Z-16,234,76.5,65.0,48.3,38.8,45.0,30.5,33.4,"[-93.85643, 36.4207]",49.7,boat-first
Z-17,228,68.9,35.5,36.8,37.5,23.3,17.8,24.7,"[-93.85643, 36.4207]",49.3,mixed
Z-18,179,22.9,0.0,35.7,64.2,41.7,33.1,30.7,"[-94.02133, 36.33245]",68.9,mixed
