nodes_built,premises_covered,pct_all,pct_los_reachable
1,1695,17.7,20.5
2,3020,31.6,36.5
3,4043,42.2,48.8
4,4634,48.4,56.0
5,5181,54.1,62.6
6,5706,59.6,68.9
7,6026,63.0,72.8
8,6294,65.8,76.0
9,6545,68.4,79.1
10,6742,70.4,81.4
11,6922,72.3,83.6
12,7049,73.6,85.1
13,7171,74.9,86.6
14,7285,76.1,88.0
15,7376,77.1,89.1
16,7460,77.9,90.1
17,7540,78.8,91.1
18,7606,79.5,91.9
19,7667,80.1,92.6
20,7721,80.7,93.3
21,7769,81.2,93.8
22,7811,81.6,94.3
23,7850,82.0,94.8
24,7886,82.4,95.3
25,7920,82.7,95.7
26,7952,83.1,96.1
27,7978,83.4,96.4
28,8004,83.6,96.7
29,8028,83.9,97.0
30,8050,84.1,97.2
