a_id,b_id,km,water_km,class,cost_usd
1,9,3.99,0.22,water long: licensed MW + diversity,55000
1,25,1.71,0.00,land: fiber/unlicensed PtP,8000
1,29,3.56,0.32,water long: licensed MW + diversity,55000
2,7,5.79,0.76,water long: licensed MW + diversity,55000
2,11,3.77,1.50,water long: licensed MW + diversity,55000
2,12,1.84,0.00,land: fiber/unlicensed PtP,8000
2,18,2.53,0.00,land: fiber/unlicensed PtP,8000
2,24,0.67,0.00,land: fiber/unlicensed PtP,8000
3,17,5.00,0.57,water long: licensed MW + diversity,55000
3,20,1.77,0.00,land: fiber/unlicensed PtP,8000
3,22,4.08,2.10,water long: licensed MW + diversity,55000
4,15,3.84,0.24,water long: licensed MW + diversity,55000
4,28,0.56,0.00,land: fiber/unlicensed PtP,8000
5,16,4.43,0.54,water long: licensed MW + diversity,55000
5,23,2.15,0.00,land: fiber/unlicensed PtP,8000
5,26,4.10,1.17,water long: licensed MW + diversity,55000
5,27,6.33,0.76,water long: licensed MW + diversity,55000
6,10,4.22,1.36,water long: licensed MW + diversity,55000
6,13,2.85,0.00,land: fiber/unlicensed PtP,8000
7,12,4.59,2.70,water long: licensed MW + diversity,55000
8,22,3.16,0.74,water long: licensed MW + diversity,55000
8,26,0.98,0.00,land: fiber/unlicensed PtP,8000
8,30,1.01,0.00,land: fiber/unlicensed PtP,8000
9,13,4.41,0.49,water long: licensed MW + diversity,55000
9,25,2.38,0.17,water short: unlicensed 60/5GHz PtP,9000
10,14,2.50,0.14,land: fiber/unlicensed PtP,8000
11,21,5.49,1.43,water long: licensed MW + diversity,55000
11,24,3.12,1.17,water long: licensed MW + diversity,55000
11,28,4.08,0.54,water long: licensed MW + diversity,55000
12,24,2.50,0.00,land: fiber/unlicensed PtP,8000
14,18,6.12,0.00,land: fiber/unlicensed PtP,8000
15,28,4.36,0.23,water long: licensed MW + diversity,55000
16,27,2.59,0.48,water short: unlicensed 60/5GHz PtP,9000
17,22,6.36,3.47,water long: licensed MW + diversity,55000
18,24,2.82,0.00,land: fiber/unlicensed PtP,8000
19,23,2.32,0.26,water short: unlicensed 60/5GHz PtP,9000
19,30,3.77,0.45,water long: licensed MW + diversity,55000
20,29,3.19,0.73,water long: licensed MW + diversity,55000
21,24,6.73,0.46,water long: licensed MW + diversity,55000
22,26,2.46,0.00,land: fiber/unlicensed PtP,8000
26,30,1.95,0.00,land: fiber/unlicensed PtP,8000
