zone_id,zone_name,county,premises,commercial,median_value,homes_over_1m,lat,lon
Z-01,Beaver Shores,Benton,1272,15,345685,65,36.31887,-94.02067
Z-02,Prairie Creek,Benton,1134,58,390420,33,36.34943,-94.06788
Z-03,Monte Ne,Benton,935,9,309365,58,36.28723,-94.06830
Z-04,Creech,Benton,851,3,286355,20,36.23894,-94.03718
Z-05,Lost Bridge Village,Benton,596,4,427268,33,36.38347,-93.91589
Z-06,Township of Walnut,Benton,538,7,420638,57,36.33050,-93.94697
Z-07,Blue Springs Village,Washington,531,16,241500,11,36.17923,-94.01855
Z-08,Ventris Public Use Area,Benton,510,2,471018,38,36.35597,-93.98559
Z-09,Mundell (historical),Carroll,462,5,546550,59,36.37375,-93.86476
Z-10,War Eagle Cove,Washington,440,6,215425,11,36.20608,-93.99176
Z-11,Puckett (historical),Benton,432,1,232922,44,36.37732,-94.03349
Z-12,Beaver Dam,Carroll,405,14,404650,42,36.38889,-93.83157
Z-13,Vista Shores,Benton,285,8,309755,14,36.41426,-93.91343
Z-14,Huffman Ford (historical),Benton,280,7,475792,49,36.43341,-93.87925
Z-15,Blue Springs Use Area,Washington,259,3,253200,9,36.15779,-93.99661
Z-16,Township of Prairie,Carroll,234,0,243900,9,36.33293,-93.82447
Z-17,Rambo Riviera,Benton,228,3,304032,10,36.30417,-93.89586
Z-18,Cook Ford,Benton,179,1,176470,2,36.24500,-93.96355
